id	title	story	gender	link	image
10	쇼생크 탈출	촉망 받던 은행 부지점장 ‘앤디(팀 로빈슨 分)’는 아내와 그 애인을 살해한 혐의로 종신형을 받고 쇼생크 교도소에 수감된다. 강력범들이 수감된 이곳에서 재소자들은 짐승 취급 당하고, 혹여 간수 눈에 잘못 보였다가는 개죽음 당하기 십상이다. 처음엔 적응 못하던 ‘앤디’는 교도소 내 모든 물건을 구해주는 ‘레드(모건 프리먼 分)’와 친해지며 교도소 생활에 적응하려 하지만, 악질 재소자에게 걸려 강간까지 당한다. 그러던 어느 날, 간수장의 세금 면제를 도와주며 간수들의 비공식 회계사로 일하게 되고, 마침내는 소장의 검은 돈까지 관리해주게 된다. 덕분에 교도소 내 도서관을 열 수 있게 되었을 무렵, 신참내기 ‘토미(길 벨로우스 分)’로부터 ‘앤디’의 무죄를 입증할 기회를 얻지만, 노튼 소장은 ‘앤디’를 독방에 가두고 ‘토미’를 무참히 죽여버리는데...	M	https://movie.naver.com/movie/bi/mi/basic.nhn?code=17421	https://movie-phinf.pstatic.net/20160119_278/14531650465287bcuk_JPEG/movie_image.jpg?type=f67
11	킹 오브 프리즘 프라이드 더 히어로	Over The Rainbow의 라이브를 보고 프리즘 쇼를 동경해 에델로즈에 입학하게 된 이치죠 신. 그곳엔 7명의 신입생들이 미래의 프리즘스타가 되기 위해 연습하고 있었다. 하지만, 노리즈키 진이 이끄는 슈왈츠로즈의 음모가 에델로즈를 해체 위기로 몰아넣는다. 에델로즈를 구하기 위해 잠정 활동 중단에 들어간 Over The Rainbow. 코우지는 거액의 빚을 갚기 위해 할리우드로 영화음악을 제작하러 떠나고, 카즈키는 스트리트 계로서의 초심을 돌아보고, 히로는 실력 향상을 위해 특훈에 돌입한다. 각자의 위치에서 프리즘스타로서의 자신과 마주 보는 멤버들. 선배로부터 후배에게 이어지는 바통. 되돌아보는 동료와의 인연. 파란 속에 드디어 프리즘 킹 컵 개막. 지금까지 그 누구도 본 적 없는 프리즘 점프의 숨 막히는 응수. 킹 오브 프리즘의 왕관은 과연 누구의 머리 위에서 빛날 것인가.	F	https://movie.naver.com/movie/bi/mi/basic.nhn?code=164290	https://movie-phinf.pstatic.net/20180418_53/1524027409219FEf0v_JPEG/movie_image.jpg?type=f67
12	터미네이터 2:오리지널	미래, 인류와 기계의 전쟁은 계속 되는 가운데 스카이넷은 인류 저항군 사령관 존 코너를 없애기 위해 액체 금속형 로봇인 T-1000을 과거의 어린 존 코너에게로 보낸다. 미래의 인류 운명을 쥔 어린 존 코너. 스카이넷의 T-1000은 거침없이 숨 가쁜 추격을 시작하는데…	M	https://movie.naver.com/movie/bi/mi/basic.nhn?code=10200	https://movie-phinf.pstatic.net/20191010_99/1570669194041iWfdl_JPEG/movie_image.jpg?type=f67
13	고스트 메신저 극장판	영혼을 전송하는 고스트 메신저 강림도령은 령 캡쳐 임무를 수행하던 중 뜻하지 않은 실수로 자신의 소울폰 안에 갇혀버린다. 한편 할아버지와 함께 골동품 가게를 운영하며 평범하게 살아가는 지닌 12살 소년이지만, 보통 사람들은 보지 못하는 령을 볼 수 있는 비범한 영적 능력을 타고난 꼬마강림은 우연히 소울폰을 손에 넣게 된다. 소울폰의 능력을 이용하게 된 꼬마강림은 장난으로 시작했던 일들이 점점 더 커다란 문제가 되어 돌아오자 어쩔 수 없이 강력한 힘을 지닌 강림도령을 소울폰 밖으로 꺼내주게 된다. 고스트 메신저와 인간, 결코 어울릴 수 없는 둘은 현실 세계와 영혼의 세계를 오가며 갖가지 사건에 휘말리고, 때마침 이들을 쫓는 미지의 인물이 등장하는데… 과연 위기에 처한 이들의 운명은?	F	https://movie.naver.com/movie/bi/mi/basic.nhn?code=120076	https://movie-phinf.pstatic.net/20140421_130/1398061938514s7iYb_JPEG/movie_image.jpg?type=f67
14	제보자	“제가 줄기세포를 연구하는 이유는 난치병 환자들에게 희망이 되기 위해서 입니다.” 세계 최초로 인간배아줄기세포 추출에 성공한 ‘이장환’ 박사의 연구 결과가 국민적인 관심사로 떠오르고 있는 가운데 PD추적 ‘윤민철’ PD는 익명의 제보자로부터 한 통의 전화를 받게 된다. “전 아무런 증거도 없습니다. 그래도 제 말을 믿으시겠습니까?” 얼마 전까지 ‘이장환’ 박사와 함께 줄기세포 연구를 해오던 ‘심민호’ 팀장은 ‘윤민철’ PD에게 논문이 조작되었다는 사실과 함께 줄기세포 실험 과정에서 벌어진 비윤리적 행위에 대해 양심 선언을 하게 된다. “이 방송 꼭 내보낼겁니다.” 제보자의 증언 하나만을 믿고 사건에 뛰어든 ‘윤민철’ PD는 ‘이장환’ 박사를 비판하는 것은 국익에 반하는 것이라는 여론과 언론의 거센 항의에 한계를 느끼게 되고, 결국 방송이 나가지 못하게 되는 위기에 처하게 되는데… 대한민국을 뒤흔든 줄기세포 스캔들의 실체가 밝혀진다.	N	https://movie.naver.com/movie/bi/mi/basic.nhn?code=128235	https://movie-phinf.pstatic.net/20140826_174/1409016626929bOFP8_JPEG/movie_image.jpg?type=f67
15	서바이벌 패밀리	도쿄에 사는 스즈키 가족은 평범한 가족처럼 보인다. 그러나 엄마의 대화에도 아빠는 TV만 쳐다보고, 아들은 헤드셋만 끼고 살고, 딸은 스마트폰에만 정신이 팔려 있다. 같이만 살 뿐, 남보다 못한, 대화가 단절된 전형적인 도시의 가족이었던 것. 그러던 어느 날 도쿄 전역에 모든 전기가 끊긴다. 전기와 연결된 시스템과 기차, 자동차, 가스, 전자기기가 동시에 멈췄다. 처음엔 며칠만 참고 견디면 해결될 줄 알았다. 당연히 회사와 학교에는 갈 수 없고, 식량은 떨어져가며 심지어 물도 마실 수 없다. 한순간에 문명의 편리함이 사라져 버린 것이다. 결국 스즈키 가족은 도쿄를 탈출하기로 한 일생일대의 결단을 내린다. 전기가 사라진 세상에서 이 가족은 무사히 도쿄를 벗어나 살아남을 수 있을까?	M	https://movie.naver.com/movie/bi/mi/basic.nhn?code=159645	https://movie-phinf.pstatic.net/20180105_271/1515119963006v8XEg_JPEG/movie_image.jpg?type=f67
16	1급기밀	국방부 군수본부 항공부품구매과 과장으로 부임한 박대익 중령(김상경)에게 어느 날, 공군 전투기 파일럿 강영우 대위가 찾아와 전투기 부품 공급 업체 선정에 대한 의혹을 제기한다. 이에 대익이 부품구매 서류를 확인하던 중 유독 미국의 에어스타 부품만이 공급되고 있음을 발견한다. 한편 강영우 대위가 전투기 추락 사고를 당하고, 이를 조종사 과실로 만들어 사건을 은폐하는 과정을 지켜본 대익은 큰 충격을 받는다. 그리고 은밀한 뒷조사 끝에 차세대 전투기 도입에 관한 에어스타와 연계된 미 펜타곤과 국방부 간에 진행되고 있는 모종의 계약을 알게 된다. 딸에게만큼은 세상에서 가장 바보 같지만 세상에서 제일 용감한 군인으로 남고 싶은 대익은 [PD25시]의 기자 김정숙(김옥빈)과 손잡고 국익이라는 미명으로 군복 뒤에 숨은 도둑들의 만행을 폭로하기로 결심하는 데… 그들이 시작한 전쟁, 절대로 항복하지 않을 것이다!	M	https://movie.naver.com/movie/bi/mi/basic.nhn?code=149504	https://movie-phinf.pstatic.net/20171229_122/1514509440369GnxtO_JPEG/movie_image.jpg?type=f67
17	연평해전	해군 출신 아버지의 자랑스러운 아들이자, 참수리 357호 정장 ‘윤영하’ 대위 아내의 든든한 남편이자, 참수리 357호 조타장 ‘한상국’ 하사 어머니의 하나뿐인 아들이자, 참수리 357호 의무병 ‘박동혁’ 상병 참수리 357호 대원들은 실전을 방불케 하는 고된 훈련 속에 서로를 의지하며 가족 같은 존재가 되어간다. 무더운 여름과 함께 월드컵의 함성이 뜨거워지는 가운데, 한국과 터키의 3, 4위전 경기가 열리던 그날 서해 바다 한 가운데에 포성이 울리는데… 2016년 제 21회 팜 비치 국제영화제 초청	N	https://movie.naver.com/movie/bi/mi/basic.nhn?code=102272	https://movie-phinf.pstatic.net/20150709_22/1436403002631h77Nm_JPEG/movie_image.jpg?type=f67
18	어벤져스: 인피니티 워	새로운 조합을 이룬 어벤져스, 역대 최강 빌런 타노스에 맞서 세계의 운명이 걸린 인피니티 스톤을 향한 무한 대결이 펼쳐진다! 마블의 클라이맥스를 목격하라!	M	https://movie.naver.com/movie/bi/mi/basic.nhn?code=136315	https://movie-phinf.pstatic.net/20180322_242/15216962441485x5Om_JPEG/movie_image.jpg?type=f67
19	알리타: 배틀 엔젤	모두가 갈망하는 공중도시와 그들을 위해 존재하는 고철도시로 나누어진 26세기. 고철 더미 속 모든 기억을 잃은 채 깨어난 알리타는 마음 따뜻한 의사 이도의 보살핌으로 새로운 삶을 시작한다. 이도는 사이보그인 알리타에게 특별한 과거의 비밀과 영혼이 존재한다는 사실을 깨닫고 미스터리한 과거로부터 그녀를 지키고자 한다. 한편, 새로운 친구 휴고는 알리타가 위험한 고철도시를 헤쳐나갈 수 있는 방법과 함께 기억을 되찾도록 돕는다. 알리타가 자신의 과거에 다가 갈수록 도시를 지배하는 악랄한 세력들이 그녀를 노리며 제거하려고 하고 자신이 착취와 약탈의 고철도시를 구할 수 있는 열쇠임을 깨닫게 된 알리타는 사랑하는 가족과 친구, 새로운 세상을 위해 통제된 세상의 무시무시한 적들과 맞서게 되는데…	M	https://movie.naver.com/movie/bi/mi/basic.nhn?code=66728	https://movie-phinf.pstatic.net/20190128_22/1548638810964Go9Wy_JPEG/movie_image.jpg?type=f67
20	언더독	하루아침에 운명이 바뀐 강아지 ‘뭉치’는 우연히 만난 거리 생활의 고참 ‘짱아’ 일당을 만나 목숨을 구하게 된다. 차츰 ‘짱아’ 무리의 스트릿 라이프에 적응하던 찰나 그들의 소중한 아지트가 사라질 위기에 처하고, 마침내 그들은 진정한 자유를 찾기 위한 모험을 떠나기로 결심하는데…	F	https://movie.naver.com/movie/bi/mi/basic.nhn?code=199000	https://movie-phinf.pstatic.net/20201022_235/1603352262041OxTVJ_JPEG/movie_image.jpg?type=f67
21	우드잡	아르바이트나 하면서 하루하루를 그저 편하게 살고 싶어 하는 히라노 유키(소메타니 쇼타 역). 대학 시험에도 떨어지고 여친에게도 이별 통보를 받은 그는 홍보 전단 표지의 여자 모델이 예쁘다는 이유로 산림관리 연수 프로그램에 덜컥 지원하고, 긴 여정 끝에 가무사리 마을에 오게 된다. 하지만 도착한 가무사리 마을은 휴대 전화의 전파도 닿지 않는 끝없이 산이 이어진 곳! 히라노는 산에 대해 천재적 재능을 가진 벌목꾼 이다 요키(이토 히데아키 역)의 집에서 식객 생활을 하면서 본격 산림관리 연수를 시작한다. 하지만 아무 생각 없이 살던 뺀질이 도시 청년에게 고된 노동이 필요한 산림관리가 결코 만만할 수는 없는 일! 험난한 연수 기간 동안, 홍보 표지 모델이었던 초등학교 선생님 이시이 나오키(나가사와 마사미 역)를 만난 히라노는 그녀에게 점점 이끌리게 되는데…	F	https://movie.naver.com/movie/bi/mi/basic.nhn?code=123688	https://movie-phinf.pstatic.net/20141215_209/1418611515184k2Yvc_JPEG/movie_image.jpg?type=f67
22	명탐정 코난: 순흑의 악몽	경찰에 잠입한 누군가에 의해 유출된 N.O.C리스트. 그리고 전 세계 스파이들이 연이어 제거되는 사건이 발생한다. 한편, 코난과 친구들은 새로 개장한 수족관에서 우연히 의문의 여인과 마주친다. 두 눈의 색이 다른 ‘오드아이’인 그녀는 상처투성이인 온 몸에, 자신의 이름도 기억하지 못하는 상태. 그녀가 잃어버린 기억을 되찾을 수 있게 도와 주던 코난은 심상치 않은 기운을 느끼고, FBI, 경찰, CIA가 모두 그녀를 쫓고 있음을 알게 된다. 여기에 베일에 싸여 있는 검은 조직마저도 정체를 드러내고 그 여인을 쫓는데… 잃어버린 기억 속 숨겨진 비밀을 찾아, 그들이 움직인다!	F	https://movie.naver.com/movie/bi/mi/basic.nhn?code=149049	https://movie-phinf.pstatic.net/20180601_119/1527833071053vMOoY_JPEG/movie_image.jpg?type=f67
23	시카리오: 데이 오브 솔다도	마약 카르텔이 테러리스트들을 국경으로 수송하고 있다는 정보를 입수한 CIA 작전 총 책임자 맷(조슈 브롤린). 그는 가족이 카르텔에 의해 살해당한 의문의 남자 알레한드로(베니치오 델 토로)에게 도움을 요청한다. 그리고 이들은 정의 뿐 아니라 그들의 룰도 버린 비밀 작전을 감행하게 되는데···	M	https://movie.naver.com/movie/bi/mi/basic.nhn?code=152680	https://movie-phinf.pstatic.net/20180604_50/1528074884302BdLlf_JPEG/movie_image.jpg?type=f67
24	언더 워터	멕시코의 숨겨진 보석 같은 해변 ‘파라다이스’. 이곳을 찾은 의대생 ‘낸시’는 서핑을 즐기던 중 무언가의 습격으로 부상을 입고 근처의 작은 암초로 겨우 피신한다. 그녀가 올라선 암초로부터 해변까지는 고작 200미터. 소리를 지르면 닿을 가까운 거리지만,바다 밑에는 초속 11.3미터로 움직이는 거대한 상어가 맴돌고, 만조가 되면 암초는 물에 잠겨 그놈의 영역이 된다. 극한의 상황, 오직 생존을 위한 카운트다운이 시작된다!	N	https://movie.naver.com/movie/bi/mi/basic.nhn?code=160437	https://movie-phinf.pstatic.net/20200518_300/1589776956506KIHU1_JPEG/movie_image.jpg?type=f67
25	허스토리	1992~1998 6년의 기간, 23번의 재판, 10명의 원고단, 13명의 변호인! 시모노세키와 부산을 오가며 일본 재판부에 당당하게 맞선 할머니들과 그들을 위해 함께 싸웠던 사람들의 뜨거운 이야기가 시작된다!	F	https://movie.naver.com/movie/bi/mi/basic.nhn?code=167787	https://movie-phinf.pstatic.net/20180618_223/1529289387860nUBT1_JPEG/movie_image.jpg?type=f67
26	이미테이션 게임	매 순간 3명이 죽는 사상 최악의 위기에 처한 제 2차 세계대전. 절대 해독이 불가능한 암호 ‘에니그마’로 인해 연합군은 속수무책으로 당하게 된다. 결국 각 분야의 수재들을 모아 기밀 프로젝트 암호 해독팀을 가동한다. 천재 수학자 앨런 튜링(베네딕트 컴버배치)은 암호 해독을 위한 특별한 기계를 발명하지만 24시간 마다 바뀌는 완벽한 암호 체계 때문에 번번히 좌절하고 마는데... 과연, 앨런 튜링과 암호 해독팀은 암호를 풀고 전쟁의 승리를 끌어낼 수 있을까…?	N	https://movie.naver.com/movie/bi/mi/basic.nhn?code=113348	https://movie-phinf.pstatic.net/20150119_210/1421651446335iyHCr_JPEG/movie_image.jpg?type=f67
27	럭키	냉혹한 킬러 형욱(유해진)은 사건 처리 후 우연히 들른 목욕탕에서 비누를 밟고 넘어져 과거의 기억을 잃게 된다. 인기도, 삶의 의욕도 없어 죽기로 결심한 무명배우 재성(이준)은 신변 정리를 위해 들른 목욕탕에서 그런 형욱을 보게 되고, 자신과 그의 목욕탕 키를 바꿔 도망친다. 이후 형욱은 자신이 재성이라고 생각한 채, 배우로 성공하기 위해 노력하는데… 인생에 단 한번 찾아온 초대형 기회! 초특급 반전! 이것이 LUCK.KEY다!	N	https://movie.naver.com/movie/bi/mi/basic.nhn?code=196284	https://movie-phinf.pstatic.net/20200807_91/1596778293799wsig9_JPEG/movie_image.jpg?type=f67
28	간츠: 오	지하철에서 위험에 빠진 시민을 구하려다 죽음을 당한 고등학생 ‘카토’는 어느 방 안에서 눈을 뜬다. 죽은 사람들이 모여 있는 방 안에 나타난 정체 모를 검은 구체 ‘간츠’. 그리고 ‘간츠’가 남긴 미션. ‘제한 시간 내에 괴생명체들과의 전투에서 살아 남아 100점이 걸린 최종보스를 제거하라!’ 홀로 남은 동생에게 돌아가기 위해 카토는 오사카 도심을 공격한 괴물에 맞서 싸우지만, 그와 ‘레이카’ 가 속한 도쿄팀은 열세에 몰리고, 때마침 ‘안즈’를 비롯해 ‘조지’, ‘무로야, ‘오카’까지 막강한 에이스가 모인 오사카팀과 조우한다. 그러나 최종보스 ‘누라리횬’의 등장으로 간츠팀은 역대 최악의 상황에 놓이는데..	M	https://movie.naver.com/movie/bi/mi/basic.nhn?code=153729	https://movie-phinf.pstatic.net/20170424_135/1492996597470OosWJ_JPEG/movie_image.jpg?type=f67
29	더 킹	무소불위 권력을 쥐고 폼 나게 살고 싶었던 태수는 우여곡절 끝에 권력의 설계자 한강식을 만나 핵심 라인을 타고 승승장구 하게 된다 정권이 교체되는 중요한 시기, 새로운 판을 짜며 기회를 노리던 이들 앞에 예상치 못한 위기가 닥치는데… 대한민국이 속 시원하게 뒤집힌다!	N	https://movie.naver.com/movie/bi/mi/basic.nhn?code=187526	https://movie-phinf.pstatic.net/20191016_245/15711911283788LM49_JPEG/movie_image.jpg?type=f67
30	가부와 메이 이야기	어느 폭풍우 치던 밤, 오두막에 숨어있던 염소 ‘메이’는 다리를 다친 늑대 ‘가부’를 만나게 된다. 어두운 밤인데다가 코감기 때문에 서로의 정체(?)를 알 수 없던 둘은 대화를 나누면서 돈독한 정을 나누게 되고 다음 날 다시 만날 것을 약속하며 아쉬운 작별을 한다. 그리고 다음 날, 오랜만에 잘 통하는 친구를 만났다는 기쁨에 부풀어 약속장소에 나간 ‘가부’와 ‘메이’는 서로의 정체를 알게 되고 깜짝 놀라게 되는데! 시간이 지날수록 점점 더 서로에게 마음을 열게 되는 ‘가부’와 ‘메이’. 그렇지만, 늑대의 주식인 염소를 눈앞에서 보고 있어야 하는 늑대 ‘가부’는 배고픔과 우정 사이에서 괴롭기만 하다. 비밀리에 우정을 쌓아가던 어느 날! 늑대들이 염소사냥을 나서고 ‘가부’는 ‘메이’를 지켜내지만, 결국 둘의 우정이 들통나고 만다. 늑대들의 규칙에 따라 사형을 선고 받는 ‘가부’, 같은 무리로부터 추방당할 위기에 놓인 ‘메이’. 벌을 피할 수 있는 유일한 조건은 각자 서로의 정보를 빼내는 것. 친구를 배신하지 않으면 무리에서 쫓겨나거나 목숨을 잃을 절대적 위기상황! 늑대 ‘가부’와 염소 ‘메이’는 과연 그들의 우정을 지켜낼 수 있을까? 제18회 동경국제영화제 특별초대작	N	https://movie.naver.com/movie/bi/mi/basic.nhn?code=57278	https://movie-phinf.pstatic.net/20140113_22/1389579203468tkixg_JPEG/movie_image.jpg?type=f67
31	비밥바룰라	평균 나이 일흔, 지병 하나 정도는 기본 스펙인 네 명의 시니어벤져스 더 멋진 황혼을 맞이하기로 결심한 네 사람은 가족을 위해 지금껏 미뤄왔던 각자의 버킷리스트를 꺼내기 시작한다. 예상을 뛰어넘는 그들의 프로젝트에 온 동네가 발칵 뒤집히게 되는데… 꽃보다 아름다운 진짜 인생을 마주하다!	M	https://movie.naver.com/movie/bi/mi/basic.nhn?code=151254	https://movie-phinf.pstatic.net/20180115_171/1515982258671smQuV_JPEG/movie_image.jpg?type=f67
